price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year,sale_month,house_age,is_renovated,log_price
780000,5,2.5,1660,4000,1.5,0,0,5,8,1660,0,98109,47.6452,-122.352,1210,4000,2014,10,85,0,13.567050480716235
450000,4,2.5,1900,9240,1.0,0,0,3,7,1900,0,98007,47.6167,-122.137,2040,8052,2015,4,53,0,13.017005083966255
1005000,5,2.0,2440,3080,2.0,0,0,4,8,2440,0,98112,47.6242,-122.306,1640,3077,2014,11,104,0,13.820499094499693
510000,2,1.75,1210,131115,1.5,0,0,5,7,1210,0,98070,47.4599,-122.45,2020,185565,2014,7,64,0,13.1421679654829
515000,4,2.25,2200,6967,2.0,0,0,3,8,2200,0,98011,47.7355,-122.202,1970,7439,2015,3,29,0,13.151924121391561
263000,3,1.75,1570,7775,2.0,0,0,3,7,1570,0,98031,47.3876,-122.216,1580,8622,2014,5,32,0,12.479913113434042
799950,3,2.25,1860,1386,3.0,0,0,3,9,1860,0,98112,47.6368,-122.279,1680,3080,2014,8,0,0,13.592305754774207
285000,3,2.0,1460,6377,1.0,0,0,3,7,1460,0,98038,47.3679,-122.02,1600,6250,2014,6,19,0,12.560247968016562
449000,4,2.0,1870,6000,1.5,0,0,3,7,1870,0,98125,47.7155,-122.315,1520,7169,2015,1,59,0,13.014780393893403
205000,4,2.0,2200,13320,1.0,0,0,3,6,1100,1100,98168,47.481,-122.292,1330,6099,2014,7,70,0,12.230770136157428
553000,3,1.0,1310,18135,1.0,0,0,3,7,1310,0,98008,47.6065,-122.113,2150,18135,2015,1,67,0,13.223115088821102
1600000,3,2.5,3160,12824,1.0,0,2,4,9,1820,1340,98004,47.6151,-122.216,3390,11985,2014,5,48,0,14.285514812209815
442500,4,2.25,1840,7575,1.0,0,0,4,7,1390,450,98034,47.7328,-122.198,1820,7500,2014,11,41,0,13.000198003314573
1309500,4,4.5,4750,13912,2.0,0,2,3,10,3600,1150,98118,47.5332,-122.265,3600,22124,2014,6,9,0,14.08515670657986
450000,3,2.0,1510,43560,1.0,0,0,3,7,1510,0,98077,47.7218,-122.079,2060,67756,2014,5,60,0,13.017005083966255
760000,3,1.75,1410,15120,1.0,0,0,4,7,1410,0,98004,47.5974,-122.195,1880,15120,2015,4,65,0,13.541075028051122
705000,4,3.0,3150,9318,2.0,0,0,3,9,3150,0,98075,47.5959,-122.018,3150,9318,2014,9,13,0,13.465954500233115
811000,3,1.75,1870,9897,1.0,0,0,4,8,1870,0,98040,47.5505,-122.221,1900,10005,2014,10,54,0,13.606024566142413
414000,3,2.5,1790,3754,2.0,0,0,3,8,1790,0,98065,47.534,-121.841,1800,3393,2014,9,1,0,12.933623668263472
479950,2,2.25,1360,1336,3.0,0,0,3,8,1360,0,98107,47.6714,-122.392,1280,1295,2014,12,6,0,13.081439294339882
2000000,3,3.25,2610,16387,2.0,1,4,3,9,2610,0,98125,47.7175,-122.278,2590,12958,2014,11,8,0,14.508658238524095
367000,3,2.5,2260,93218,1.0,0,2,4,6,2260,0,98022,47.2582,-121.935,2180,111078,2015,3,17,0,12.813119851828635
589000,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,98034,47.7044,-122.2,2290,9600,2014,6,53,0,13.286183160425152
199000,4,1.0,1280,10521,1.5,0,0,3,7,1280,0,98198,47.4215,-122.289,1540,9384,2015,2,55,0,12.201065128819632
608000,3,1.5,2240,3750,1.0,0,0,3,7,1220,1020,98103,47.6624,-122.336,1570,3400,2014,10,62,0,13.317931805683793
495000,3,2.25,1780,8050,1.0,0,0,4,7,1230,550,98052,47.6977,-122.126,1780,7200,2014,10,35,0,13.112315061750808
385000,4,3.0,2253,7700,2.0,0,0,3,7,2253,0,98198,47.3935,-122.3,1786,9052,2015,4,58,1,12.861001210669146
284000,3,2.5,1660,4083,2.0,0,0,3,7,1660,0,98038,47.3595,-122.045,1800,4087,2014,10,1,0,12.556733038263905
437500,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,98045,47.4838,-121.714,2550,35065,2014,5,22,0,12.98883427049148
443600,3,2.5,1430,1056,3.0,0,0,3,8,1430,0,98117,47.684,-122.388,1310,2135,2014,8,11,0,13.002680788738946
790000,3,2.75,2460,3600,2.0,0,0,3,9,2460,0,98029,47.5409,-121.994,2570,3600,2015,3,8,0,13.579789490265188
778000,3,2.25,2260,33080,1.0,0,0,5,9,1690,570,98005,47.6386,-122.183,3020,35291,2014,10,40,0,13.564483088506746
1285000,4,3.5,3440,3800,3.0,0,0,3,9,3440,0,98112,47.6408,-122.307,1760,3800,2014,10,0,0,14.06627005452127
385000,3,1.75,1300,7030,1.0,0,0,3,7,1300,0,98034,47.721,-122.179,1450,7650,2014,6,46,0,12.861001210669146
662500,6,2.25,2450,25600,1.0,0,2,3,7,1340,1110,98008,47.6061,-122.117,1850,10230,2014,9,57,0,13.403777346275337
610000,3,2.5,2260,33042,1.0,0,0,3,9,1660,600,98077,47.7634,-122.086,2600,40115,2014,8,28,0,13.321215875492413
476000,3,2.5,1440,3840,2.0,0,0,3,7,1440,0,98053,47.6873,-122.043,1600,3131,2015,1,14,0,13.073175234051686
365000,3,1.5,1640,8301,1.0,0,0,3,7,1290,350,98155,47.7443,-122.327,1640,8955,2014,8,56,0,12.807655372286902
245000,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,98030,47.3507,-122.178,1630,6458,2014,9,27,0,12.409017571151187
585000,6,3.0,3870,43787,2.0,0,0,3,8,2700,1170,98077,47.7642,-122.098,2600,35381,2015,1,39,0,13.279368835614243
278800,4,2.5,2440,7797,1.0,0,0,3,8,1560,880,98031,47.3895,-122.222,2090,8100,2015,2,50,0,12.538253544662647
285000,4,3.0,1900,7194,2.0,0,0,4,7,1900,0,98042,47.3768,-122.117,1690,7194,2015,2,27,0,12.560247968016562
320000,3,2.5,1680,4584,2.0,0,0,3,7,1680,0,98056,47.4794,-122.182,2160,4621,2014,9,11,0,12.676079399771027
524950,2,2.5,1830,2856,2.0,0,0,3,7,1830,0,98029,47.5524,-121.996,1850,2667,2014,11,9,0,13.1710602038846
725000,4,2.5,3300,28433,2.0,0,0,3,9,3300,0,98059,47.5072,-122.112,3550,26386,2014,7,16,0,13.493928313146206
745000,3,2.75,3010,12432,1.0,0,0,4,8,1890,1120,98052,47.6392,-122.108,2500,12432,2014,7,44,0,13.521140839642674
465000,5,1.5,1830,9000,1.0,0,2,3,7,1030,800,98155,47.7488,-122.292,2610,11175,2014,12,59,0,13.049794835104816
443000,3,2.5,1780,2778,2.0,0,0,3,8,1530,250,98126,47.5487,-122.372,1380,1998,2014,12,7,0,13.001327306361068
210000,3,1.0,1520,8600,1.0,0,0,3,6,1040,480,98168,47.5134,-122.335,1320,8600,2014,7,63,0,12.25486757159303
344200,4,2.5,2490,5812,2.0,0,0,3,8,2490,0,98042,47.3875,-122.155,2690,6012,2014,7,14,0,12.74898106804298
299900,3,2.25,1560,35026,1.0,0,0,3,7,1290,270,98092,47.3023,-122.069,1660,35160,2015,2,30,0,12.611207699176356
615000,3,1.75,2110,56192,1.0,0,0,3,7,1480,630,98072,47.7701,-122.138,2570,46609,2015,1,37,0,13.329379172803593
270000,3,2.25,1760,8287,1.0,0,0,3,7,1160,600,98188,47.4501,-122.274,1290,9587,2014,8,28,0,12.506180941677357
315000,3,1.75,1410,15134,1.0,0,0,3,7,1410,0,98014,47.6931,-121.921,1770,15337,2015,2,35,0,12.660331092405906
645000,3,2.5,2120,196995,1.0,0,1,3,9,2120,0,98070,47.4089,-122.459,1304,92423,2015,3,18,0,13.377007146164305
685000,3,3.25,2030,11070,2.0,0,0,4,8,2030,0,98052,47.6478,-122.117,2450,11070,2014,7,34,0,13.437175577097312
910000,4,2.5,3170,32430,2.5,0,0,3,10,3170,0,98053,47.6903,-122.056,3360,35610,2014,10,25,0,13.721200977393528
354000,3,1.0,1130,11250,1.0,0,0,3,7,1130,0,98034,47.7254,-122.227,1410,11250,2014,12,49,0,12.777055016970678
485000,3,2.5,3110,9015,2.0,0,0,3,9,3110,0,98058,47.4369,-122.147,2650,8960,2014,9,24,0,13.091906231773164
450000,3,2.25,1940,8312,1.0,0,1,4,7,1220,720,98166,47.4556,-122.346,2060,9503,2015,4,52,0,13.017005083966255
750000,3,2.5,2390,6550,1.0,0,2,4,8,1440,950,98116,47.5714,-122.408,2010,6550,2014,5,59,0,13.527829818844937
499000,2,1.0,1450,3090,2.0,0,0,3,7,1450,0,98103,47.6853,-122.356,1450,4635,2014,12,95,1,13.120363378739663
290000,2,1.0,960,4000,1.0,0,0,3,6,960,0,98118,47.5554,-122.267,1210,4000,2014,9,96,0,12.577639650232573
415000,3,1.75,1480,2200,2.0,0,0,3,7,1480,0,98103,47.6969,-122.35,1360,2190,2015,4,20,0,12.936036208848487
271115,2,1.5,830,1325,2.0,0,0,3,7,830,0,98136,47.5472,-122.384,1310,1485,2014,10,9,0,12.510302052557462
662700,2,1.5,2440,6900,2.0,0,0,3,7,1590,850,98118,47.5568,-122.271,1770,6900,2015,4,105,0,13.4040791870536
525000,3,2.75,2100,10362,2.0,0,0,3,9,1510,590,98045,47.4347,-121.417,2240,11842,2014,5,16,0,13.171155446333852
433000,4,1.5,1550,5053,1.0,0,0,4,7,1180,370,98118,47.5499,-122.274,1450,5639,2014,7,51,0,12.978495316450783
490000,3,1.0,960,5750,1.0,0,0,3,7,960,0,98116,47.5689,-122.393,1520,5750,2015,4,64,0,13.102162710901053
310000,3,2.0,2610,12180,1.0,0,0,3,7,1670,940,98146,47.5063,-122.346,1520,12180,2014,10,96,0,12.644330802262578
554500,3,2.25,1880,6565,1.0,0,0,4,8,1420,460,98008,47.6396,-122.113,2060,7280,2015,3,43,0,13.225823889197443
465000,5,2.5,2550,6405,2.0,0,0,3,7,2550,0,98065,47.5191,-121.869,2190,5900,2014,12,6,0,13.049794835104816
355000,4,2.75,3000,5470,2.0,0,0,3,8,3000,0,98038,47.3613,-122.038,2420,4891,2014,7,9,0,12.779875885354993
222900,2,1.0,860,5800,1.0,0,0,5,5,860,0,98056,47.4979,-122.183,900,6000,2014,9,72,0,12.31448300568063
257000,5,2.75,2930,10148,2.0,0,0,3,9,2930,0,98059,47.4887,-122.145,2930,8425,2014,10,12,0,12.456835254920371
479000,2,2.25,1330,1380,2.0,0,0,3,8,1060,270,98116,47.577,-122.41,1580,4802,2014,11,9,0,13.079457964073546
545000,3,1.75,1700,5750,1.5,0,2,5,7,1450,250,98126,47.5643,-122.38,1700,5750,2014,8,89,0,13.208542908506082
870000,4,3.0,4500,21780,2.0,0,2,3,9,3040,1460,98040,47.5581,-122.213,3540,20473,2014,6,34,0,13.676249640055394
1050000,4,3.0,3080,10757,2.0,0,3,5,8,3080,0,98006,47.5671,-122.159,2810,10757,2015,2,54,0,13.864301674514206
745000,4,2.75,2410,5650,1.5,0,0,5,8,2070,340,98116,47.5651,-122.391,1960,5650,2015,3,106,0,13.521140839642674
670000,3,2.5,2050,6420,1.0,0,3,3,8,1730,320,98116,47.5708,-122.405,2370,7620,2014,6,58,0,13.415034483903348
519000,5,2.25,2570,13054,1.0,0,1,3,8,1470,1100,98166,47.4487,-122.352,2570,19807,2014,7,64,1,13.159661088928443
1648000,4,3.5,4610,12500,2.0,0,2,3,11,4610,0,98033,47.6508,-122.203,2340,11538,2014,8,11,0,14.315073596247487
725000,3,2.5,2620,28703,1.0,0,0,3,10,2620,0,98052,47.7238,-122.114,2950,30290,2014,12,29,0,13.493928313146206
560000,4,2.5,2520,11240,1.0,0,0,3,8,1440,1080,98052,47.6748,-122.144,2360,10345,2014,10,37,0,13.235693848424024
643403,3,2.5,2350,9648,1.0,0,0,4,9,2350,0,98008,47.6156,-122.108,2320,10512,2014,9,48,0,13.374528110740073
415000,3,1.5,1510,16800,1.0,0,0,5,8,1510,0,98133,47.751,-122.338,1560,7276,2015,4,59,0,12.936036208848487
445000,3,2.5,1740,22089,1.0,0,0,4,8,1130,610,98070,47.3948,-122.435,2000,24925,2015,3,38,0,13.005831808336863
184500,2,1.0,720,5880,1.0,0,0,3,6,720,0,98178,47.5056,-122.27,1440,7200,2015,1,75,0,12.12541016250223
530000,4,2.75,2450,15002,1.0,0,0,5,9,2450,0,98166,47.4268,-122.343,2650,15055,2014,5,40,0,13.180634172318978
547000,5,2.5,2200,4080,1.5,0,0,5,7,1420,780,98103,47.6872,-122.35,1300,4080,2014,6,98,0,13.212205909556012
620000,3,1.75,2140,5808,1.0,0,1,3,7,1070,1070,98119,47.6435,-122.373,1930,5808,2015,1,68,0,13.3374763699232
